name,date,open,high,low,close,volume
HSBC,2017/1/3,36.4271,36.436,36.1344,36.2675,2353037
HSBC,2017/1/4,36.3739,36.6311,36.2231,36.6134,1398653
HSBC,2017/1/5,36.4094,36.5513,36.2941,36.5069,1573939
HSBC,2017/1/6,36.4094,36.6046,36.4005,36.4981,2313263
HSBC,2017/1/9,36.1522,36.1789,36.028,36.0635,1896502
HSBC,2017/1/10,36.1788,36.4227,36.1078,36.1433,1764194
HSBC,2017/1/11,36.3562,36.6755,36.2054,36.6755,1917668
HSBC,2017/1/12,36.5956,36.6666,36.4005,36.5247,1318293
HSBC,2017/1/13,36.436,36.6666,36.436,36.5069,1592855
HSBC,2017/1/17,36.9859,37.0036,36.4981,36.5247,1988952
HSBC,2017/1/18,37.0657,37.2342,36.8617,37.1722,3071440
HSBC,2017/1/19,37.1012,37.181,36.7996,36.9593,2159483
HSBC,2017/1/20,36.9504,37.0835,36.9327,37.0214,1206226
HSBC,2017/1/23,36.8883,37.1899,36.8617,37.1455,1394139
HSBC,2017/1/24,37.3141,37.4737,37.2431,37.3407,1331036
HSBC,2017/1/25,37.8285,38.0059,37.7664,37.9881,1415726
HSBC,2017/1/26,38.0502,38.1655,37.9793,38.1301,1626272
HSBC,2017/1/27,38.2276,38.2631,38.0591,38.1035,1353866
HSBC,2017/1/30,37.8108,37.8374,37.6156,37.6955,1412395
HSBC,2017/1/31,38.1301,38.17,37.6555,37.7841,1681037
HSBC,2017/2/1,38.2276,38.2542,37.8418,37.9438,2221930
HSBC,2017/2/2,37.793,37.8374,37.5447,37.66,2379206
HSBC,2017/2/3,37.8906,38.0946,37.8374,37.9438,6750675
HSBC,2017/2/6,37.7841,38.0235,37.7841,37.9261,4395154
HSBC,2017/2/7,37.8551,38.0414,37.8374,37.9881,2162537
HSBC,2017/2/8,37.6777,37.8019,37.4249,37.7664,1868846
HSBC,2017/2/9,38.068,38.3075,38.0059,38.1921,1744138
HSBC,2017/2/10,37.9527,38.201,37.9305,38.1123,1484623
HSBC,2017/2/13,38.0857,38.4405,38.068,38.3873,2528786
HSBC,2017/2/14,38.4139,38.6445,38.3961,38.5913,1664075
HSBC,2017/2/15,38.8396,39.1855,38.7864,39.1057,2237748
HSBC,2017/2/16,39.0968,39.1589,38.9283,39.1234,1955253
HSBC,2017/2/17,38.7687,39.0081,38.7332,38.9461,1892055
HSBC,2017/2/21,36.6577,36.9593,36.64,36.8795,7484046
HSBC,2017/2/22,37.1707,37.6256,37.1707,37.4709,3838982
HSBC,2017/2/23,37.5164,37.5619,37.1889,37.3253,2682683
HSBC,2017/2/24,36.925,37.0747,36.8613,37.0069,2402277
HSBC,2017/2/27,36.6611,36.8249,36.6065,36.7248,2040163
HSBC,2017/2/28,36.561,36.702,36.5337,36.6702,2004013
HSBC,2017/3/1,37.0251,37.3071,37.0251,37.1616,2652566
HSBC,2017/3/2,37.1616,37.2434,37.066,37.0979,2198633
HSBC,2017/3/3,37.2525,37.389,37.1798,37.3162,1643807
HSBC,2017/3/6,37.1707,37.1979,36.9614,37.0979,1552541
HSBC,2017/3/7,36.9159,36.9887,36.8476,36.9159,1260445
HSBC,2017/3/8,37.1161,37.1889,36.8613,36.8613,1449473
HSBC,2017/3/9,37.0342,37.0342,36.8613,36.9159,1883778
HSBC,2017/3/10,36.8431,36.9341,36.7248,36.925,1989154
HSBC,2017/3/13,37.3526,37.5528,37.3162,37.4527,2070930
HSBC,2017/3/14,37.016,37.1252,36.9341,37.0797,1501517
HSBC,2017/3/15,37.1798,37.4573,37.1707,37.4436,1917280
HSBC,2017/3/16,37.6984,37.7894,37.5255,37.6802,2324764
HSBC,2017/3/17,37.4254,37.4891,37.107,37.2252,2367023
HSBC,2017/3/20,37.1707,37.1707,36.9928,36.9978,2041538
HSBC,2017/3/21,37.4436,37.4982,36.935,36.9796,2746117
HSBC,2017/3/22,36.6702,36.9386,36.6429,36.8522,2634016
HSBC,2017/3/23,36.8067,36.9659,36.7885,36.8977,2164617
HSBC,2017/3/24,36.9068,37.0023,36.7202,36.9068,1741145
HSBC,2017/3/27,36.8522,37.107,36.7703,37.0251,2366455
HSBC,2017/3/28,37.0797,37.4482,37.0706,37.3526,1818976
HSBC,2017/3/29,37.0524,37.2798,37.0405,37.1798,1623107
HSBC,2017/3/30,37.1889,37.4391,37.1752,37.3526,1692593
HSBC,2017/3/31,37.2434,37.2889,37.1069,37.1434,1625899
HSBC,2017/4/3,37.0251,37.0615,36.6247,36.9068,2209956
HSBC,2017/4/4,36.8431,36.9068,36.7293,36.8522,1522648
HSBC,2017/4/5,37.2525,37.4618,36.9887,37.016,2678796
HSBC,2017/4/6,36.9523,37.1525,36.8886,36.9887,1807362
HSBC,2017/4/7,37.0069,37.0615,36.8522,36.9159,1330723
HSBC,2017/4/10,37.2343,37.3071,37.0524,37.1434,1422419
HSBC,2017/4/11,37.3799,37.4436,37.1343,37.4163,1882749
HSBC,2017/4/12,37.3981,37.4254,37.2025,37.2798,1292598
HSBC,2017/4/13,36.6338,36.8249,36.5246,36.5428,2842630
HSBC,2017/4/17,36.6247,36.975,36.6065,36.9341,1544016
HSBC,2017/4/18,36.561,36.6156,36.2698,36.5428,2775204
HSBC,2017/4/19,36.3426,36.4427,36.0605,36.1515,2413384
HSBC,2017/4/20,36.3972,36.47,36.3563,36.4245,2083390
HSBC,2017/4/21,36.4973,36.5246,36.2971,36.3426,1405391
HSBC,2017/4/24,37.1525,37.2525,37.0888,37.1525,2764231
HSBC,2017/4/25,37.4891,37.662,37.4436,37.5255,2075488
HSBC,2017/4/26,37.5255,37.6802,37.4618,37.4709,1759361
HSBC,2017/4/27,37.7621,37.7627,37.5346,37.6984,1520628
HSBC,2017/4/28,37.5346,37.6575,37.4436,37.4618,1864205
HSBC,2017/5/1,37.5346,37.6757,37.4982,37.5619,1027946
HSBC,2017/5/2,37.6711,37.7257,37.5619,37.6802,3087504
HSBC,2017/5/3,37.6802,37.9623,37.6438,37.8713,1751726
HSBC,2017/5/4,39.1543,39.1634,38.7721,38.945,4575401
HSBC,2017/5/5,38.8358,38.8631,38.6857,38.8358,1682490
HSBC,2017/5/8,39.0087,39.0087,38.7721,38.8449,1478120
HSBC,2017/5/9,39.2089,39.2635,38.9996,39.0451,2309492
HSBC,2017/5/10,39.5638,39.582,39.4273,39.5183,2127203
HSBC,2017/5/11,39.6639,39.7061,39.5547,39.6457,2781886
HSBC,2017/5/12,39.7458,39.8095,39.6548,39.7913,1615493
HSBC,2017/5/15,40.0369,40.2735,40.0278,40.2462,1883335
HSBC,2017/5/16,40.3827,40.4373,40.3372,40.41,1803302
HSBC,2017/5/17,40.0695,40.0695,39.6103,39.6646,2556006
HSBC,2017/5/18,39.6094,39.8394,39.5633,39.683,1963114
HSBC,2017/5/19,39.7474,39.9821,39.7382,39.8947,1857552
HSBC,2017/5/22,39.9867,40.0327,39.867,39.9407,1622859
HSBC,2017/5/23,40.0695,40.1201,39.8716,39.9775,1536291
HSBC,2017/5/24,39.9315,39.9959,39.6968,39.821,1350230
HSBC,2017/5/25,39.9959,40.0051,39.8486,39.9223,1337384
HSBC,2017/5/26,39.8486,39.8854,39.683,39.7106,1442857
HSBC,2017/5/30,40.0419,40.0741,39.9039,39.9499,1244513
HSBC,2017/5/31,40.4468,40.4928,39.9591,40.0235,2077165
HSBC,2017/6/1,40.2444,40.3272,40.0695,40.318,1440016
HSBC,2017/6/2,40.318,40.364,40.1799,40.2996,1055841
HSBC,2017/6/5,40.4928,40.5537,40.41,40.41,952562
HSBC,2017/6/6,40.6585,40.7662,40.6309,40.7321,1466441
HSBC,2017/6/7,40.6677,40.7597,40.5389,40.7413,1285634
HSBC,2017/6/8,40.6953,40.8241,40.6585,40.7413,1286537
HSBC,2017/6/9,40.7321,40.8426,40.4974,40.6861,2017575
HSBC,2017/6/12,40.3456,40.4422,40.1523,40.2812,1323473
HSBC,2017/6/13,40.3364,40.41,40.1838,40.364,1145321
HSBC,2017/6/14,40.3088,40.3088,40.0649,40.1983,1414103
HSBC,2017/6/15,40.226,40.41,40.1891,40.318,1510514
HSBC,2017/6/16,40.364,40.5297,40.2812,40.4928,1551204
