name,date,open,high,low,close,volume
FB,2017/1/3,116.03,117.84,115.51,116.86,20663912
FB,2017/1/4,117.55,119.66,117.29,118.69,19630932
FB,2017/1/5,118.86,120.95,118.3209,120.67,19492150
FB,2017/1/6,120.98,123.88,120.03,123.41,28545263
FB,2017/1/9,123.55,125.43,123.04,124.9,22880360
FB,2017/1/10,124.82,125.5,124.28,124.35,17324590
FB,2017/1/11,124.35,126.12,124.06,126.09,18356523
FB,2017/1/12,125.61,126.73,124.8,126.62,18653914
FB,2017/1/13,127.49,129.27,127.37,128.34,24884325
FB,2017/1/17,128.04,128.34,127.4,127.87,15294460
FB,2017/1/18,128.41,128.43,126.84,127.92,13145852
FB,2017/1/19,128.23,128.35,127.45,127.55,12195465
FB,2017/1/20,128.1,128.48,126.78,127.04,19097223
FB,2017/1/23,127.31,129.25,126.95,128.93,16593563
FB,2017/1/24,129.38,129.9,128.38,129.37,15162724
FB,2017/1/25,130,131.74,129.77,131.48,18777314
FB,2017/1/26,131.63,133.14,131.4401,132.78,20020141
FB,2017/1/27,132.68,132.95,131.08,132.18,19539514
FB,2017/1/30,131.58,131.58,129.6,130.98,18956095
FB,2017/1/31,130.17,130.66,129.5157,130.32,19790484
FB,2017/2/1,132.25,133.49,130.68,133.23,50139775
FB,2017/2/2,133.22,135.49,130.4,130.84,54366447
FB,2017/2/3,131.24,132.85,130.76,130.98,24804890
FB,2017/2/6,130.98,132.06,130.3,132.06,17058494
FB,2017/2/7,132.24,133,131.661,131.84,14596449
FB,2017/2/8,132.6,134.44,132.44,134.2,22390556
FB,2017/2/9,134.49,134.5,133.31,134.14,16470609
FB,2017/2/10,134.1,134.94,133.68,134.19,15061939
FB,2017/2/13,134.6975,134.6975,133.7,134.05,13526221
FB,2017/2/14,134.1,134.23,132.55,133.85,14364877
FB,2017/2/15,133.45,133.7,132.66,133.44,13226534
FB,2017/2/16,133.07,133.87,133.022,133.84,12831092
FB,2017/2/17,133.5,134.0912,133.17,133.53,12276490
FB,2017/2/21,133.5,133.91,132.9,133.72,14759109
FB,2017/2/22,133.6,136.79,133.46,136.12,27360092
FB,2017/2/23,135.89,136.12,134.33,135.36,18422549
FB,2017/2/24,134.16,135.62,134.16,135.44,12625742
FB,2017/2/27,135.26,137.1846,135.02,136.41,14306668
FB,2017/2/28,136.79,136.805,134.75,135.54,16112092
FB,2017/3/1,136.47,137.48,136.3,137.42,16257010
FB,2017/3/2,137.09,137.82,136.31,136.76,12294804
FB,2017/3/3,136.63,137.33,136.08,137.17,11160563
FB,2017/3/6,136.88,137.83,136.51,137.42,12748179
FB,2017/3/7,137.03,138.37,136.99,137.3,13527132
FB,2017/3/8,137.15,137.99,137.0516,137.72,10184514
FB,2017/3/9,137.72,138.57,137.4,138.24,15535259
FB,2017/3/10,138.91,139.49,138.22,138.79,16314113
FB,2017/3/13,138.71,139.68,138.6729,139.6,10955450
FB,2017/3/14,139.46,139.46,138.52,139.32,12944018
FB,2017/3/15,139.29,140.1,138.49,139.72,19344826
FB,2017/3/16,140.2,140.25,139.73,139.99,13612942
FB,2017/3/17,140.34,140.34,139.7,139.84,20592818
FB,2017/3/20,139.71,140.19,139.25,139.94,12099471
FB,2017/3/21,141.15,142.3082,138.4,138.51,29894784
FB,2017/3/22,137.93,139.79,137.6,139.59,17055449
FB,2017/3/23,139.48,140.39,139.09,139.53,13022801
FB,2017/3/24,140.08,141.0244,139.76,140.34,16664683
FB,2017/3/27,139.05,140.65,138.77,140.32,12800544
FB,2017/3/28,140.36,141.95,140.01,141.76,14679436
FB,2017/3/29,141.99,142.86,141.43,142.65,16527574
FB,2017/3/30,142.4,142.95,141.85,142.41,12403997
FB,2017/3/31,142.31,142.63,141.89,142.05,11478265
FB,2017/4/3,141.93,142.47,140.82,142.28,13563960
FB,2017/4/4,141.86,142.09,141.27,141.73,12948599
FB,2017/4/5,142.26,143.44,141.29,141.85,17158059
FB,2017/4/6,142.11,142.22,140.91,141.17,15103426
FB,2017/4/7,141.2,141.55,140.24,140.78,11811439
FB,2017/4/10,141,141.43,140.63,141.04,9039366
FB,2017/4/11,140.8,141.0299,138.81,139.92,16638087
FB,2017/4/12,139.72,140.4,139.44,139.58,11612456
FB,2017/4/13,139.62,140.58,139.33,139.39,10965614
FB,2017/4/17,139.76,141.55,139.75,141.42,11519663
FB,2017/4/18,141.27,141.905,140.61,140.96,14807472
FB,2017/4/19,141.35,143.04,141.27,142.27,15563945
FB,2017/4/20,142.95,144.25,142.689,143.8,15968164
FB,2017/4/21,143.9,144.17,142.27,143.68,12382002
FB,2017/4/24,144.96,145.6738,144.34,145.47,14407175
FB,2017/4/25,145.79,147.15,145.7898,146.49,17767523
FB,2017/4/26,147.09,147.59,146.09,146.56,12394959
FB,2017/4/27,146.67,147.75,146.14,147.7,11275112
FB,2017/4/28,149.5,151.53,149.07,150.25,30652248
FB,2017/5/1,151.74,152.57,151.42,152.46,25218300
FB,2017/5/2,153.34,153.44,151.66,152.78,21870380
FB,2017/5/3,153.6,153.6,151.34,151.8,29782492
FB,2017/5/4,150.17,151.52,148.72,150.85,36225452
FB,2017/5/5,151.45,151.63,149.79,150.24,17148543
FB,2017/5/8,150.71,151.08,149.74,151.06,15827488
FB,2017/5/9,151.49,152.59,150.21,150.48,17453859
FB,2017/5/10,150.23,150.52,148.86,150.29,12080650
FB,2017/5/11,150.31,150.65,149.41,150.04,11841864
FB,2017/5/12,150.4,150.46,149.63,150.33,9598229
FB,2017/5/15,150.17,151.48,149.77,150.19,15064664
FB,2017/5/16,150.11,150.21,149.03,149.78,14550830
FB,2017/5/17,148,148.67,144.4216,144.85,28300050
FB,2017/5/18,144.72,148.15,144.51,147.66,23031566
FB,2017/5/19,148.445,149.39,147.96,148.06,16187892
FB,2017/5/22,148.08,148.59,147.69,148.24,12586712
FB,2017/5/23,148.52,148.81,147.25,148.07,12817837
FB,2017/5/24,148.51,150.23,148.42,150.04,17940668
FB,2017/5/25,150.3,152.59,149.95,151.96,19891352
FB,2017/5/26,152.23,152.25,151.15,152.13,14996185
FB,2017/5/30,151.97,152.9,151.64,152.38,13226007
FB,2017/5/31,152.7,153.35,151.09,151.46,18023917
FB,2017/6/1,151.75,152.29,150.3,151.53,14530600
FB,2017/6/2,151.85,153.63,151.3,153.61,16854365
